"time","x_co","anomaly_co","x_co climatology","num_obs"
20010103,74.5149,7.8265,66.6884,2019
20010110,74.4208,8.83761,65.5832,1911
20010117,86.241,21.4862,64.7547,2302
20010124,81.9124,17.7564,64.156,1869
20010131,67.8189,4.08686,63.732,1654
20010207,-999.99,-9999,63.4275,-9999
20010214,57.2025,-5.99054,63.193,760
20010221,63.0431,0.053916,62.9892,2704
20010228,64.9145,2.12518,62.7893,1769
20010307,60.6703,-1.90925,62.5796,2698
20010314,64.3146,1.95717,62.3574,2082
20010321,59.7377,-2.39053,62.1282,1330
20010328,60.461,-1.44082,61.9019,2810
20010404,64.2336,2.54501,61.6885,1943
20010411,60.1487,-1.3471,61.4958,2569
20010418,61.8893,0.5627,61.3266,2899
20010425,60.9435,-0.235431,61.1789,1990
20010502,67.5912,6.5441,61.0471,1515
20010509,63.9954,3.07098,60.9244,783
20010516,-999.99,-9999,60.807,-9999
20010523,-999.99,-9999,60.6973,-9999
20010530,-999.99,-9999,60.6081,-9999
20010606,-999.99,-9999,60.5644,-9999
20010613,-999.99,-9999,60.6043,-9999
20010620,-999.99,-9999,60.7773,-9999
20010627,-999.99,-9999,61.1408,-9999
20010704,-999.99,-9999,61.7545,-9999
20010711,-999.99,-9999,62.673,-9999
20010718,-999.99,-9999,63.9388,-9999
20010725,-999.99,-9999,65.5742,-9999
20010801,-999.99,-9999,67.5755,-9999
20010808,-999.99,-9999,69.909,-9999
20010815,-999.99,-9999,72.5094,-9999
20010822,75.4507,0.16859,75.2821,229
20010829,79.2496,1.14139,78.1082,2059
20010905,93.4076,12.5553,80.8523,1985
20010912,88.2107,4.83807,83.3726,2429
20010919,95.5112,9.97885,85.5324,3043
20010926,95.9717,8.7605,87.2112,2824
20011003,85.9538,-2.36137,88.3152,1594
20011010,83.7874,-4.99794,88.7853,1277
20011017,83.9725,-4.62961,88.6021,2164
20011024,94.4529,6.66557,87.7873,1407
20011031,85.029,-1.37274,86.4018,1850
20011107,83.445,-1.0945,84.5395,985
20011114,77.4187,-4.90058,82.3193,1202
20011121,75.7421,-4.13201,79.8741,1634
20011128,71.5794,-5.76055,77.34,1957
20011205,83.6279,8.78327,74.8446,731
20011212,70.0015,-2.49683,72.4983,983
20011219,70.7917,0.405322,70.3864,2773
20011226,68.5074,-0.0575398,68.565,1978
20020102,66.5357,-0.335291,66.871,2163
20020109,64.8749,-0.848324,65.7232,2403
20020116,65.457,0.599194,64.8578,2824
20020123,66.7485,2.51904,64.2295,1647
20020130,67.1005,3.3165,63.784,2417
20020206,62.3353,-1.13033,63.4657,1104
20020213,62.8251,-0.398764,63.2239,2802
20020220,64.4866,1.469,63.0176,1104
20020227,63.3902,0.571916,62.8183,1778
20020306,66.774,4.16368,62.6103,1792
20020313,65.7751,3.38537,62.3898,3240
20020320,70.3435,8.18247,62.161,1077
20020327,56.0231,-5.9105,61.9336,367
20020403,64.3541,2.63622,61.7179,3373
20020410,66.9146,5.39272,61.5219,2690
20020417,64.3759,3.0266,61.3493,2046
20020424,66.3411,5.14223,61.1989,2867
20020501,64.0498,2.98457,61.0652,3604
20020508,65.4684,4.52681,60.9416,2659
20020515,64.891,4.06756,60.8234,1124
20020522,61.8748,1.16266,60.7122,1459
20020529,63.7074,3.08857,60.6188,2064
20020605,65.435,4.86836,60.5666,1738
20020612,63.8579,3.26619,60.5917,1265
20020619,63.6698,2.92754,60.7423,1788
20020626,65.3735,4.29858,61.0749,2718
20020703,65.1029,3.45361,61.6493,2679
20020710,67.3241,4.80277,62.5214,2906
20020717,68.5927,4.85702,63.7356,2314
20020724,69.6677,4.34991,65.3178,2790
20020731,74.1303,6.86216,67.2682,1529
20020807,69.0687,-0.488726,69.5574,3045
20020814,74.9312,2.80634,72.1248,2738
20020821,74.8254,-0.0543068,74.8798,2148
20020828,83.2031,5.49682,77.7063,2716
20020904,91.7655,11.2948,80.4707,2609
20020911,87.1046,4.07305,83.0316,2395
20020918,93.7701,8.51938,85.2507,2463
20020925,92.5013,5.4966,87.0047,2304
20021002,103.627,15.4317,88.1953,3036
20021009,105.604,16.8463,88.7582,2708
20021016,108.654,19.9858,88.6679,2457
20021023,100.897,12.957,87.9405,2792
20021030,100.495,13.8637,86.6314,2502
20021106,100.751,15.9206,84.8304,2978
20021113,103.497,20.8438,82.6534,2459
20021120,97.4213,17.1893,80.232,1515
20021127,88.7287,11.0263,77.7024,1578
20021204,-999.99,-9999,75.1943,-9999
20021211,-999.99,-9999,72.8208,-9999
20021218,-999.99,-9999,70.6713,-9999
20021225,76.4849,7.67878,68.8061,2626
20030101,65.0667,-1.99329,67.06,1609
20030108,72.1508,6.28182,65.869,3407
20030115,72.2109,7.24513,64.9657,2979
20030122,86.9001,22.5933,64.3067,3278
20030129,76.2947,12.4561,63.8386,2847
20030205,72.842,9.33664,63.5054,2291
20030212,75.2189,11.9635,63.2554,2178
20030219,71.5076,8.4615,63.0461,279
20030226,62.5052,-0.341814,62.847,2132
20030305,65.1798,2.53893,62.6408,1837
20030312,62.4074,-0.0145022,62.4219,3198
20030319,62.5641,0.370171,62.1939,3053
20030326,62.8383,0.872625,61.9656,2547
20030402,63.1416,1.394,61.7476,3324
20030409,62.9385,1.38996,61.5485,1753
20030416,59.5472,-1.82532,61.3726,2782
20030423,63.3536,2.13438,61.2192,3191
20030430,61.6377,0.554216,61.0835,2144
20030507,64.3797,3.42087,60.9588,2054
20030514,62.7752,1.93513,60.84,1171
20030521,63.5956,2.86827,60.7274,2107
20030528,63.1577,2.52737,60.6303,2438
20030604,65.0109,4.44061,60.5703,1748
20030611,64.5323,3.95066,60.5817,2009
20030618,63.6923,2.98125,60.711,1650
20030625,64.5752,3.56125,61.014,1181
20030702,66.1555,4.60528,61.5502,2431
20030709,67.264,4.88735,62.3767,1784
20030716,68.2306,4.69058,63.54,3325
20030723,68.4983,3.42935,65.0689,2659
20030730,70.6961,3.72836,66.9678,3403
20030806,72.7648,3.55318,69.2116,2444
20030813,73.1503,1.40611,71.7442,2272
20030820,72.7495,-1.72933,74.4789,1876
20030827,74.2374,-3.06558,77.303,2459
20030903,77.2605,-2.82446,80.0849,2669
20030910,84.8719,2.18836,82.6835,2552
20030917,94.5806,9.62108,84.9595,2225
20030924,89.3903,2.60364,86.7867,2765
20031001,84.6211,-3.44152,88.0626,1786
20031008,88.7002,-0.0174083,88.7176,1595
20031015,83.7255,-4.99509,88.7206,3088
20031022,90.9941,2.91246,88.0817,2052
20031029,85.09,-1.76095,86.8509,1087
20031105,84.7367,-0.376915,85.1136,2338
20031112,82.5816,-0.400931,82.9825,3320
20031119,83.8959,3.30817,80.5877,1195
20031126,75.5147,-2.55062,78.0654,1774
20031203,72.4692,-3.07754,75.5468,1203
20031210,73.3715,0.223508,73.148,1449
20031217,-999.99,-9999,70.962,-9999
20031224,-999.99,-9999,69.0537,-9999
20031231,72.6388,5.18144,67.4573,491
20040107,65.9638,-0.0568647,66.0207,2031
20040114,60.1396,-4.93908,65.0787,2131
20040121,59.6483,-4.7396,64.3879,2178
20040128,59.6991,-4.1968,63.8959,1863
20040204,62.4336,-1.11319,63.5468,2624
20040211,65.8549,2.56719,63.2878,3171
20040218,64.6864,1.61157,63.0748,2331
20040225,61.8036,-1.07202,62.8756,2076
20040303,60.0228,-2.6483,62.6711,3121
20040310,60.3641,-2.08981,62.4539,2290
20040317,63.1416,0.914888,62.2267,2780
20040324,62.5337,0.535842,61.9978,3783
20040331,63.3116,1.53383,61.7778,1886
20040407,62.2594,0.683784,61.5756,3180
20040414,65.7871,4.39091,61.3962,3061
20040421,61.607,0.36713,61.2399,3027
20040428,59.4467,-1.65533,61.1021,1629
20040505,59.8308,-1.14546,60.9762,1652
20040512,61.4167,0.560028,60.8567,1851
20040519,61.8811,1.13831,60.7428,1775
20040526,57.9171,-2.72549,60.6426,1343
20040602,59.1179,-1.45758,60.5754,1405
20040609,62.2765,1.7025,60.574,1234
20040616,63.3108,2.62749,60.6833,2118
20040623,63.7853,2.82747,60.9578,2263
20040630,64.1457,2.6886,61.4571,3053
